((0, 0),)	26875	3039
((0, 0), (0, 1))	68667	4436
((0, 0), (0, 1), (0, 2))	65880	3669
((0, 0), (0, 1), (0, 2), (0, 3))	33439	1764
((0, 0), (0, 1), (0, 2), (0, 3), (0, 4))	24575	1069
((0, 0), (0, 1), (0, 2), (0, 3), (0, 5))	990	46
((0, 0), (0, 1), (0, 2), (0, 3), (0, 6))	12	1
((0, 0), (0, 1), (0, 2), (0, 4))	12543	585
((0, 0), (0, 1), (0, 2), (0, 4), (0, 5))	3134	126
((0, 0), (0, 1), (0, 2), (0, 5))	126	6
((0, 0), (0, 1), (0, 2), (0, 5), (0, 6))	82	3
((0, 0), (0, 1), (0, 3))	11889	646
((0, 0), (0, 1), (0, 3), (0, 4))	8172	413
((0, 0), (0, 1), (0, 3), (0, 4), (0, 5))	3166	142
((0, 0), (0, 1), (0, 3), (0, 4), (0, 6))	10	1
((0, 0), (0, 1), (0, 4))	301	22
((0, 0), (0, 1), (0, 4), (0, 5), (0, 6))	16	1
((0, 0), (0, 1), (0, 5))	37	2
((0, 0), (0, 2))	16188	1122
((0, 0), (0, 2), (0, 3))	12812	749
((0, 0), (0, 2), (0, 3), (0, 4))	9745	536
((0, 0), (0, 2), (0, 3), (0, 4), (0, 5))	2593	119
((0, 0), (0, 2), (0, 4))	115	7
((0, 0), (0, 2), (0, 4), (0, 5))	11	1
((0, 0), (0, 2), (0, 4), (0, 5), (0, 6))	18	1
((0, 0), (0, 3))	2666	173
((0, 0), (0, 3), (0, 4))	1853	107
((0, 0), (0, 3), (0, 4), (0, 5))	462	21
((0, 0), (0, 3), (0, 4), (0, 5), (0, 6))	134	6
((0, 0), (0, 4))	371	18
((0, 0), (0, 4), (0, 5))	23	1
((0, 0), (0, 5))	77	4
((0, 0), (1, 0))	93318	6205
((0, 0), (1, 0), (2, 0))	97689	5607
((0, 0), (1, 0), (2, 0), (3, 0))	69152	3420
((0, 0), (1, 0), (2, 0), (3, 0), (4, 0))	17823	809
((0, 0), (1, 0), (2, 0), (3, 0), (5, 0))	9939	421
((0, 0), (1, 0), (2, 0), (3, 0), (6, 0))	62	3
((0, 0), (1, 0), (2, 0), (4, 0))	8104	428
((0, 0), (1, 0), (2, 0), (4, 0), (5, 0))	1619	79
((0, 0), (1, 0), (2, 0), (5, 0))	234	12
((0, 0), (1, 0), (2, 0), (5, 0), (6, 0))	15	1
((0, 0), (1, 0), (2, 0), (7, 0))	30	1
((0, 0), (1, 0), (3, 0))	7803	476
((0, 0), (1, 0), (3, 0), (4, 0))	5025	272
((0, 0), (1, 0), (3, 0), (4, 0), (5, 0))	1518	69
((0, 0), (1, 0), (3, 0), (5, 0))	80	4
((0, 0), (1, 0), (3, 0), (5, 0), (6, 0))	26	1
((0, 0), (1, 0), (4, 0))	193	11
((0, 0), (1, 0), (4, 0), (5, 0))	65	3
((0, 0), (1, 0), (5, 0))	59	3
((0, 0), (1, 0), (6, 0))	38	3
((0, 0), (2, 0))	12721	896
((0, 0), (2, 0), (3, 0))	7058	426
((0, 0), (2, 0), (3, 0), (4, 0))	5650	311
((0, 0), (2, 0), (3, 0), (4, 0), (5, 0))	1483	65
((0, 0), (2, 0), (3, 0), (5, 0))	20	1
((0, 0), (2, 0), (4, 0))	44	3
((0, 0), (3, 0))	1319	95
((0, 0), (3, 0), (4, 0))	680	41
((0, 0), (3, 0), (4, 0), (5, 0))	95	5
((0, 0), (3, 0), (4, 0), (5, 0), (6, 0))	53	3
((0, 0), (4, 0))	173	11
((0, 0), (4, 0), (5, 0))	36	2
((0, 0), (5, 0))	30	3
((0, 0), (7, 0))	57	3
((0, 1),)	19306	2839
((0, 1), (0, 2))	12867	1056
((0, 1), (0, 2), (0, 3))	14509	919
((0, 1), (0, 2), (0, 3), (0, 4))	14200	765
((0, 1), (0, 2), (0, 3), (0, 4), (0, 5))	19561	853
((0, 1), (0, 2), (0, 3), (0, 4), (0, 6))	3436	136
((0, 1), (0, 2), (0, 3), (0, 5))	550	34
((0, 1), (0, 2), (0, 3), (0, 5), (0, 6))	635	30
((0, 1), (0, 2), (0, 3), (0, 6))	42	2
((0, 1), (0, 2), (0, 4))	2599	135
((0, 1), (0, 2), (0, 4), (0, 5))	377	19
((0, 1), (0, 2), (0, 4), (0, 5), (0, 6))	1962	88
((0, 1), (0, 2), (0, 4), (0, 6), (0, 7))	25	1
((0, 1), (0, 2), (0, 5))	67	4
((0, 1), (0, 2), (0, 5), (0, 6), (0, 7))	20	1
((0, 1), (0, 2), (0, 6))	9	1
((0, 1), (0, 3))	1814	129
((0, 1), (0, 3), (0, 4))	1726	103
((0, 1), (0, 3), (0, 4), (0, 5))	555	28
((0, 1), (0, 3), (0, 4), (0, 5), (0, 6))	1427	60
((0, 1), (0, 4))	152	13
((0, 1), (0, 4), (0, 5))	30	2
((0, 1), (0, 4), (0, 5), (0, 6), (0, 7))	16	1
((0, 1), (0, 5))	45	2
((0, 1), (0, 6))	20	2
((0, 1), (0, 7))	5	1
((0, 1), (0, 8))	16	1
((0, 1), (1, 1))	101548	5877
((0, 1), (1, 1), (2, 1))	120632	6225
((0, 1), (1, 1), (2, 1), (3, 1))	98283	4560
((0, 1), (1, 1), (2, 1), (3, 1), (4, 1))	37219	1586
((0, 1), (1, 1), (2, 1), (3, 1), (5, 1))	20365	785
((0, 1), (1, 1), (2, 1), (3, 1), (6, 1))	451	18
((0, 1), (1, 1), (2, 1), (4, 1))	6542	315
((0, 1), (1, 1), (2, 1), (4, 1), (5, 1))	2378	101
((0, 1), (1, 1), (2, 1), (5, 1))	551	26
((0, 1), (1, 1), (2, 1), (5, 1), (6, 1))	103	5
((0, 1), (1, 1), (2, 1), (6, 1))	78	3
((0, 1), (1, 1), (3, 1))	14065	753
((0, 1), (1, 1), (3, 1), (4, 1))	4925	248
((0, 1), (1, 1), (3, 1), (4, 1), (5, 1))	1764	81
((0, 1), (1, 1), (3, 1), (5, 1))	123	6
((0, 1), (1, 1), (4, 1))	1086	58
((0, 1), (1, 1), (4, 1), (5, 1))	354	16
((0, 1), (1, 1), (4, 1), (5, 1), (6, 1))	49	3
((0, 1), (1, 1), (5, 1))	285	14
((0, 1), (1, 1), (7, 1))	52	2
((0, 1), (1, 1), (8, 1))	27	2
((0, 1), (2, 1))	10674	827
((0, 1), (2, 1), (3, 1))	3114	197
((0, 1), (2, 1), (3, 1), (4, 1))	729	44
((0, 1), (2, 1), (3, 1), (4, 1), (5, 1))	2372	100
((0, 1), (2, 1), (3, 1), (5, 1))	14	1
((0, 1), (2, 1), (3, 1), (5, 1), (6, 1))	21	1
((0, 1), (2, 1), (4, 1))	49	3
((0, 1), (2, 1), (4, 1), (5, 1))	19	1
((0, 1), (3, 1))	1964	142
((0, 1), (3, 1), (4, 1))	243	14
((0, 1), (3, 1), (4, 1), (5, 1))	87	5
((0, 1), (3, 1), (4, 1), (5, 1), (6, 1))	171	6
((0, 1), (3, 1), (5, 1))	24	2
((0, 1), (4, 1))	356	25
((0, 1), (4, 1), (5, 1), (6, 1))	13	1
((0, 1), (5, 1))	148	13
((0, 1), (5, 1), (6, 1), (7, 1))	58	2
((0, 1), (6, 1), (7, 1))	51	1
((0, 1), (7, 1))	37	1
((0, 2),)	29383	4180
((0, 2), (0, 3))	20148	1814
((0, 2), (0, 3), (0, 4))	47547	2899
((0, 2), (0, 3), (0, 4), (0, 5))	20276	1156
((0, 2), (0, 3), (0, 4), (0, 5), (0, 6))	21393	1029
((0, 2), (0, 3), (0, 4), (0, 5), (0, 7))	4655	188
((0, 2), (0, 3), (0, 4), (0, 5), (0, 8))	46	3
((0, 2), (0, 3), (0, 4), (0, 6))	1315	65
((0, 2), (0, 3), (0, 4), (0, 6), (0, 7))	3829	151
((0, 2), (0, 3), (0, 4), (0, 6), (0, 8))	25	1
((0, 2), (0, 3), (0, 4), (0, 7))	14	1
((0, 2), (0, 3), (0, 4), (0, 7), (0, 8))	152	6
((0, 2), (0, 3), (0, 4), (0, 8))	15	1
((0, 2), (0, 3), (0, 5))	1530	109
((0, 2), (0, 3), (0, 5), (0, 6))	516	30
((0, 2), (0, 3), (0, 5), (0, 6), (0, 7))	1108	52
((0, 2), (0, 3), (0, 5), (0, 7))	42	1
((0, 2), (0, 3), (0, 6))	209	14
((0, 2), (0, 3), (0, 6), (0, 7), (0, 8))	38	2
((0, 2), (0, 3), (0, 7))	40	3
((0, 2), (0, 3), (0, 7), (0, 8))	12	1
((0, 2), (0, 3), (0, 8))	5	1
((0, 2), (0, 4))	6273	425
((0, 2), (0, 4), (0, 5))	2618	133
((0, 2), (0, 4), (0, 5), (0, 6))	666	37
((0, 2), (0, 4), (0, 5), (0, 6), (0, 7))	2364	92
((0, 2), (0, 4), (0, 5), (0, 7))	9	1
((0, 2), (0, 4), (0, 6), (0, 7), (0, 8))	36	2
((0, 2), (0, 5))	287	33
((0, 2), (0, 5), (0, 6))	87	6
((0, 2), (0, 5), (0, 6), (0, 7))	18	1
((0, 2), (0, 6))	94	6
((0, 2), (0, 6), (0, 7))	11	1
((0, 2), (0, 6), (0, 7), (0, 8))	31	2
((0, 2), (0, 8))	66	3
((0, 2), (1, 2))	46069	3004
((0, 2), (1, 2), (2, 2))	132276	6194
((0, 2), (1, 2), (2, 2), (3, 2))	76550	3194
((0, 2), (1, 2), (2, 2), (3, 2), (4, 2))	56624	2139
((0, 2), (1, 2), (2, 2), (3, 2), (5, 2))	10726	392
((0, 2), (1, 2), (2, 2), (3, 2), (6, 2))	285	12
((0, 2), (1, 2), (2, 2), (3, 2), (7, 2))	66	3
((0, 2), (1, 2), (2, 2), (4, 2))	2995	127
((0, 2), (1, 2), (2, 2), (4, 2), (5, 2))	1208	46
((0, 2), (1, 2), (2, 2), (5, 2))	292	12
((0, 2), (1, 2), (2, 2), (5, 2), (6, 2))	253	10
((0, 2), (1, 2), (2, 2), (6, 2))	23	1
((0, 2), (1, 2), (3, 2))	4890	260
((0, 2), (1, 2), (3, 2), (4, 2))	1422	65
((0, 2), (1, 2), (3, 2), (4, 2), (5, 2))	723	26
((0, 2), (1, 2), (3, 2), (5, 2))	66	2
((0, 2), (1, 2), (4, 2))	1292	61
((0, 2), (1, 2), (4, 2), (5, 2))	22	1
((0, 2), (1, 2), (4, 2), (5, 2), (6, 2))	115	4
((0, 2), (1, 2), (5, 2))	114	6
((0, 2), (1, 2), (6, 2))	41	2
((0, 2), (1, 2), (7, 2))	40	1
((0, 2), (2, 2))	28710	1816
((0, 2), (2, 2), (3, 2))	7661	436
((0, 2), (2, 2), (3, 2), (4, 2))	1643	90
((0, 2), (2, 2), (3, 2), (4, 2), (5, 2))	281	13
((0, 2), (2, 2), (3, 2), (4, 2), (6, 2))	11	1
((0, 2), (2, 2), (4, 2))	112	7
((0, 2), (3, 2))	1987	165
((0, 2), (3, 2), (4, 2))	594	37
((0, 2), (4, 2))	1636	101
((0, 2), (4, 2), (5, 2))	28	2
((0, 2), (5, 2))	35	1
