((0, 0),)	9074	1016
((0, 0), (0, 1))	22439	1510
((0, 0), (0, 1), (0, 2))	22923	1268
((0, 0), (0, 1), (0, 2), (0, 3))	11126	561
((0, 0), (0, 1), (0, 2), (0, 3), (0, 4))	9327	400
((0, 0), (0, 1), (0, 2), (0, 3), (0, 5))	184	7
((0, 0), (0, 1), (0, 2), (0, 4))	3740	186
((0, 0), (0, 1), (0, 2), (0, 4), (0, 5))	1331	59
((0, 0), (0, 1), (0, 2), (0, 6))	10	1
((0, 0), (0, 1), (0, 3))	3983	226
((0, 0), (0, 1), (0, 3), (0, 4))	2662	133
((0, 0), (0, 1), (0, 3), (0, 4), (0, 5))	1214	49
((0, 0), (0, 1), (0, 3), (0, 4), (0, 6))	20	1
((0, 0), (0, 1), (0, 4))	118	6
((0, 0), (0, 1), (0, 5))	22	1
((0, 0), (0, 1), (0, 8))	44	1
((0, 0), (0, 2))	5484	388
((0, 0), (0, 2), (0, 3))	4267	249
((0, 0), (0, 2), (0, 3), (0, 4))	2503	150
((0, 0), (0, 2), (0, 3), (0, 4), (0, 5))	791	39
((0, 0), (0, 2), (0, 4))	105	6
((0, 0), (0, 3))	763	58
((0, 0), (0, 3), (0, 4))	349	23
((0, 0), (0, 3), (0, 4), (0, 5))	149	6
((0, 0), (0, 3), (0, 4), (0, 5), (0, 6))	29	1
((0, 0), (0, 4))	112	8
((0, 0), (0, 4), (0, 5))	25	2
((0, 0), (0, 6))	18	1
((0, 0), (0, 7))	26	1
((0, 0), (1, 0))	31413	2148
((0, 0), (1, 0), (2, 0))	33705	1869
((0, 0), (1, 0), (2, 0), (3, 0))	21791	1092
((0, 0), (1, 0), (2, 0), (3, 0), (4, 0))	6732	299
((0, 0), (1, 0), (2, 0), (3, 0), (5, 0))	4390	172
((0, 0), (1, 0), (2, 0), (4, 0))	2521	131
((0, 0), (1, 0), (2, 0), (4, 0), (5, 0))	381	17
((0, 0), (1, 0), (2, 0), (5, 0))	9	2
((0, 0), (1, 0), (2, 0), (5, 0), (6, 0))	17	1
((0, 0), (1, 0), (2, 0), (6, 0))	10	1
((0, 0), (1, 0), (3, 0))	3069	174
((0, 0), (1, 0), (3, 0), (4, 0))	1616	85
((0, 0), (1, 0), (3, 0), (4, 0), (5, 0))	522	26
((0, 0), (1, 0), (3, 0), (5, 0))	71	4
((0, 0), (1, 0), (4, 0))	76	5
((0, 0), (1, 0), (5, 0))	28	3
((0, 0), (1, 0), (6, 0))	5	1
((0, 0), (2, 0))	3965	275
((0, 0), (2, 0), (3, 0))	1999	128
((0, 0), (2, 0), (3, 0), (4, 0))	1763	96
((0, 0), (2, 0), (3, 0), (4, 0), (5, 0))	475	21
((0, 0), (2, 0), (3, 0), (5, 0))	12	1
((0, 0), (2, 0), (4, 0))	51	4
((0, 0), (3, 0))	444	30
((0, 0), (3, 0), (4, 0))	229	18
((0, 0), (3, 0), (4, 0), (5, 0))	145	7
((0, 0), (4, 0))	228	11
((0, 1),)	6419	919
((0, 1), (0, 2))	4279	344
((0, 1), (0, 2), (0, 3))	4740	323
((0, 1), (0, 2), (0, 3), (0, 4))	4997	251
((0, 1), (0, 2), (0, 3), (0, 4), (0, 5))	7044	310
((0, 1), (0, 2), (0, 3), (0, 4), (0, 6))	1329	59
((0, 1), (0, 2), (0, 3), (0, 5))	125	10
((0, 1), (0, 2), (0, 3), (0, 5), (0, 6))	367	15
((0, 1), (0, 2), (0, 3), (0, 5), (0, 7))	16	1
((0, 1), (0, 2), (0, 3), (0, 6))	44	2
((0, 1), (0, 2), (0, 4))	869	44
((0, 1), (0, 2), (0, 4), (0, 5))	130	7
((0, 1), (0, 2), (0, 4), (0, 5), (0, 6))	845	32
((0, 1), (0, 2), (0, 5))	30	1
((0, 1), (0, 3))	556	39
((0, 1), (0, 3), (0, 4))	568	33
((0, 1), (0, 3), (0, 4), (0, 5))	30	2
((0, 1), (0, 3), (0, 4), (0, 5), (0, 6))	507	23
((0, 1), (0, 4))	88	7
((0, 1), (0, 4), (0, 5))	40	2
((0, 1), (0, 5))	6	2
((0, 1), (0, 6))	14	1
((0, 1), (0, 6), (0, 7), (0, 8))	15	1
((0, 1), (0, 8))	10	1
((0, 1), (1, 1))	33197	1941
((0, 1), (1, 1), (2, 1))	39798	2050
((0, 1), (1, 1), (2, 1), (3, 1))	31616	1478
((0, 1), (1, 1), (2, 1), (3, 1), (4, 1))	12496	523
((0, 1), (1, 1), (2, 1), (3, 1), (5, 1))	7056	269
((0, 1), (1, 1), (2, 1), (3, 1), (6, 1))	170	6
((0, 1), (1, 1), (2, 1), (4, 1))	2277	113
((0, 1), (1, 1), (2, 1), (4, 1), (5, 1))	600	25
((0, 1), (1, 1), (2, 1), (5, 1))	278	14
((0, 1), (1, 1), (2, 1), (6, 1))	50	1
((0, 1), (1, 1), (2, 1), (8, 1))	18	1
((0, 1), (1, 1), (3, 1))	4556	256
((0, 1), (1, 1), (3, 1), (4, 1))	1526	79
((0, 1), (1, 1), (3, 1), (4, 1), (5, 1))	789	33
((0, 1), (1, 1), (3, 1), (5, 1))	46	2
((0, 1), (1, 1), (3, 1), (5, 1), (6, 1))	36	1
((0, 1), (1, 1), (4, 1))	419	25
((0, 1), (1, 1), (4, 1), (5, 1))	168	8
((0, 1), (1, 1), (5, 1))	64	4
((0, 1), (1, 1), (8, 1))	14	1
((0, 1), (2, 1))	4042	322
((0, 1), (2, 1), (3, 1))	1326	71
((0, 1), (2, 1), (3, 1), (4, 1))	253	14
((0, 1), (2, 1), (3, 1), (4, 1), (5, 1))	878	36
((0, 1), (2, 1), (4, 1), (5, 1), (6, 1))	15	1
((0, 1), (3, 1))	652	50
((0, 1), (3, 1), (4, 1))	63	4
((0, 1), (3, 1), (4, 1), (5, 1))	39	2
((0, 1), (3, 1), (5, 1))	16	1
((0, 1), (3, 1), (5, 1), (6, 1), (7, 1))	10	1
((0, 1), (4, 1))	94	8
((0, 1), (5, 1))	14	1
((0, 2),)	9935	1322
((0, 2), (0, 3))	7109	651
((0, 2), (0, 3), (0, 4))	16034	963
((0, 2), (0, 3), (0, 4), (0, 5))	6453	362
((0, 2), (0, 3), (0, 4), (0, 5), (0, 6))	7957	361
((0, 2), (0, 3), (0, 4), (0, 5), (0, 7))	1344	53
((0, 2), (0, 3), (0, 4), (0, 5), (0, 8))	58	1
((0, 2), (0, 3), (0, 4), (0, 6))	413	21
((0, 2), (0, 3), (0, 4), (0, 6), (0, 7))	1406	55
((0, 2), (0, 3), (0, 5))	472	37
((0, 2), (0, 3), (0, 5), (0, 6))	179	12
((0, 2), (0, 3), (0, 5), (0, 6), (0, 7))	193	10
((0, 2), (0, 3), (0, 6))	22	2
((0, 2), (0, 3), (0, 6), (0, 7), (0, 8))	64	2
((0, 2), (0, 3), (0, 7))	10	1
((0, 2), (0, 3), (0, 7), (0, 8))	26	1
((0, 2), (0, 3), (0, 8))	17	1
((0, 2), (0, 4))	2350	150
((0, 2), (0, 4), (0, 5))	818	44
((0, 2), (0, 4), (0, 5), (0, 6))	163	8
((0, 2), (0, 4), (0, 5), (0, 6), (0, 7))	717	27
((0, 2), (0, 5))	74	9
((0, 2), (0, 5), (0, 6))	12	1
((0, 2), (0, 6))	16	1
((0, 2), (0, 8))	14	1
((0, 2), (1, 2))	15140	979
((0, 2), (1, 2), (2, 2))	43753	2050
((0, 2), (1, 2), (2, 2), (3, 2))	26285	1091
((0, 2), (1, 2), (2, 2), (3, 2), (4, 2))	19926	746
((0, 2), (1, 2), (2, 2), (3, 2), (5, 2))	3434	132
((0, 2), (1, 2), (2, 2), (3, 2), (6, 2))	51	2
((0, 2), (1, 2), (2, 2), (4, 2))	1108	44
((0, 2), (1, 2), (2, 2), (4, 2), (5, 2))	290	12
((0, 2), (1, 2), (2, 2), (5, 2))	71	2
((0, 2), (1, 2), (2, 2), (5, 2), (6, 2))	61	2
((0, 2), (1, 2), (3, 2))	1418	86
((0, 2), (1, 2), (3, 2), (4, 2))	291	16
((0, 2), (1, 2), (3, 2), (4, 2), (5, 2))	247	9
((0, 2), (1, 2), (3, 2), (5, 2))	14	1
((0, 2), (1, 2), (4, 2))	422	18
((0, 2), (1, 2), (4, 2), (5, 2))	22	1
((0, 2), (1, 2), (5, 2))	55	3
((0, 2), (2, 2))	9063	589
((0, 2), (2, 2), (3, 2))	1924	115
((0, 2), (2, 2), (3, 2), (4, 2))	683	34
((0, 2), (2, 2), (3, 2), (4, 2), (5, 2))	266	11
((0, 2), (2, 2), (3, 2), (4, 2), (6, 2))	36	1
((0, 2), (2, 2), (3, 2), (5, 2))	8	1
((0, 2), (3, 2))	457	46
((0, 2), (3, 2), (4, 2))	17	2
((0, 2), (4, 2))	721	35
((0, 2), (4, 2), (5, 2))	47	1
((0, 2), (6, 2))	23	1
((0, 3),)	6763	1087
((0, 3), (0, 4))	15919	1289
((0, 3), (0, 4), (0, 5))	14825	939
((0, 3), (0, 4), (0, 5), (0, 6))	5396	311
((0, 3), (0, 4), (0, 5), (0, 6), (0, 7))	7608	346
((0, 3), (0, 4), (0, 5), (0, 6), (0, 8))	2958	135
((0, 3), (0, 4), (0, 5), (0, 7))	220	16
((0, 3), (0, 4), (0, 5), (0, 7), (0, 8))	1942	81
((0, 3), (0, 4), (0, 5), (0, 8))	107	7
((0, 3), (0, 4), (0, 6))	1183	66
((0, 3), (0, 4), (0, 6), (0, 7))	189	11
((0, 3), (0, 4), (0, 6), (0, 7), (0, 8))	3560	148
((0, 3), (0, 4), (0, 7))	15	1
((0, 3), (0, 4), (0, 7), (0, 8))	49	2
((0, 3), (0, 4), (0, 8))	35	2
((0, 3), (0, 5))	709	71
((0, 3), (0, 5), (0, 6))	203	15
((0, 3), (0, 5), (0, 6), (0, 7))	108	5
((0, 3), (0, 5), (0, 6), (0, 7), (0, 8))	374	19
((0, 3), (0, 5), (0, 7), (0, 8))	12	1
((0, 3), (0, 6))	111	20
((0, 3), (0, 6), (0, 7))	9	1
((0, 3), (0, 6), (0, 7), (0, 8))	81	3
((0, 3), (0, 7))	0	1
((0, 3), (0, 7), (0, 8))	28	1
((0, 3), (0, 8))	15	1
((0, 3), (1, 3))	11453	845
((0, 3), (1, 3), (2, 3))	15587	833
((0, 3), (1, 3), (2, 3), (3, 3))	11467	566
((0, 3), (1, 3), (2, 3), (3, 3), (4, 3))	49363	1805
((0, 3), (1, 3), (2, 3), (3, 3), (5, 3))	3536	133
((0, 3), (1, 3), (2, 3), (4, 3))	143	7
((0, 3), (1, 3), (2, 3), (4, 3), (5, 3))	158	6
((0, 3), (1, 3), (2, 3), (5, 3))	85	3
((0, 3), (1, 3), (2, 3), (5, 3), (6, 3))	28	1
((0, 3), (1, 3), (2, 3), (6, 3))	15	1
((0, 3), (1, 3), (3, 3))	3137	191
((0, 3), (1, 3), (3, 3), (4, 3))	58	3
((0, 3), (1, 3), (3, 3), (4, 3), (5, 3))	35	1
((0, 3), (1, 3), (4, 3))	66	4
((0, 3), (1, 3), (4, 3), (5, 3))	30	1
((0, 3), (1, 3), (5, 3))	119	7
((0, 3), (1, 3), (6, 3))	16	1
((0, 3), (2, 3))	2143	147
((0, 3), (2, 3), (3, 3))	1874	113
((0, 3), (2, 3), (3, 3), (4, 3))	43	3
((0, 3), (2, 3), (3, 3), (5, 3))	70	3
((0, 3), (3, 3))	681	67
((0, 3), (3, 3), (4, 3))	45	2
((0, 3), (4, 3))	44	3
((0, 3), (5, 3))	25	1
((0, 4),)	20152	2313
((0, 4), (0, 5))	25034	1855
((0, 4), (0, 5), (0, 6))	23825	1454
((0, 4), (0, 5), (0, 6), (0, 7))	7869	457
((0, 4), (0, 5), (0, 6), (0, 7), (0, 8))	8453	395
((0, 4), (0, 5), (0, 6), (0, 8))	13212	712
((0, 4), (0, 5), (0, 7))	2500	128
((0, 4), (0, 5), (0, 7), (0, 8))	7218	338
((0, 4), (0, 5), (0, 8))	1272	67
((0, 4), (0, 6))	3978	225
((0, 4), (0, 6), (0, 7))	1738	75
((0, 4), (0, 6), (0, 7), (0, 8))	7149	300
((0, 4), (0, 6), (0, 8))	78	6
((0, 4), (0, 7))	167	9
((0, 4), (0, 7), (0, 8))	212	11
((0, 4), (0, 8))	170	16
((0, 4), (1, 4))	47916	3076
((0, 4), (1, 4), (2, 4))	56123	2939
((0, 4), (1, 4), (2, 4), (3, 4))	7681	329
((0, 4), (1, 4), (2, 4), (3, 4), (5, 4))	4242	158
((0, 4), (1, 4), (2, 4), (3, 4), (6, 4))	161	6
((0, 4), (1, 4), (2, 4), (3, 4), (7, 4))	164	4
((0, 4), (1, 4), (2, 4), (3, 4), (8, 4))	89	3
((0, 4), (1, 4), (2, 4), (5, 4))	112	5
((0, 4), (1, 4), (2, 4), (5, 4), (6, 4))	108	4
((0, 4), (1, 4), (2, 4), (6, 4))	26	1
((0, 4), (1, 4), (3, 4))	362	19
((0, 4), (1, 4), (3, 4), (6, 4))	40	1
((0, 4), (1, 4), (5, 4))	60	3
((0, 4), (2, 4))	10621	708
((0, 4), (2, 4), (3, 4))	79	5
((0, 4), (3, 4))	68	4
((0, 4), (3, 4), (5, 4))	13	1
((0, 5),)	11462	1671
((0, 5), (0, 6))	10203	977
((0, 5), (0, 6), (0, 7))	8772	602
((0, 5), (0, 6), (0, 7), (0, 8))	18909	1020
((0, 5), (0, 6), (0, 8))	20401	1252
((0, 5), (0, 7))	1376	91
((0, 5), (0, 7), (0, 8))	6924	360
((0, 5), (0, 8))	1206	74
((0, 5), (1, 5))	14952	1081
((0, 5), (1, 5), (2, 5))	15763	854
((0, 5), (1, 5), (2, 5), (3, 5))	13149	619
((0, 5), (1, 5), (2, 5), (3, 5), (4, 5))	108557	3982
((0, 5), (1, 5), (2, 5), (3, 5), (5, 5))	1581	53
((0, 5), (1, 5), (2, 5), (3, 5), (6, 5))	31	1
((0, 5), (1, 5), (2, 5), (4, 5))	476	20
((0, 5), (1, 5), (2, 5), (4, 5), (5, 5))	115	4
((0, 5), (1, 5), (2, 5), (5, 5))	95	3
((0, 5), (1, 5), (2, 5), (5, 5), (6, 5))	38	1
((0, 5), (1, 5), (2, 5), (6, 5))	33	2
((0, 5), (1, 5), (2, 5), (6, 5), (7, 5))	57	2
((0, 5), (1, 5), (3, 5))	3583	206
((0, 5), (1, 5), (3, 5), (4, 5))	158	7
((0, 5), (1, 5), (3, 5), (4, 5), (5, 5))	60	2
((0, 5), (1, 5), (4, 5))	216	13
((0, 5), (1, 5), (5, 5))	142	6
((0, 5), (1, 5), (6, 5))	15	1
((0, 5), (1, 5), (7, 5))	62	3
((0, 5), (2, 5))	1953	145
((0, 5), (2, 5), (3, 5))	1685	85
((0, 5), (2, 5), (3, 5), (4, 5))	102	6
((0, 5), (2, 5), (3, 5), (4, 5), (5, 5))	16	1
((0, 5), (3, 5))	723	54
((0, 5), (3, 5), (4, 5))	60	4
((0, 5), (4, 5))	15	2
((0, 5), (5, 5))	151	6
((0, 5), (6, 5))	81	3
((0, 6),)	17045	2431
((0, 6), (0, 7))	10132	929
((0, 6), (0, 7), (0, 8))	46758	2578
((0, 6), (0, 8))	16702	1130
((0, 6), (1, 6))	20738	1347
((0, 6), (1, 6), (2, 6))	72660	3262
((0, 6), (1, 6), (2, 6), (3, 6))	51740	2117
((0, 6), (1, 6), (2, 6), (3, 6), (4, 6))	44543	1713
((0, 6), (1, 6), (2, 6), (3, 6), (5, 6))	1775	65
((0, 6), (1, 6), (2, 6), (3, 6), (6, 6))	55	2
((0, 6), (1, 6), (2, 6), (4, 6))	2092	92
((0, 6), (1, 6), (2, 6), (4, 6), (5, 6))	802	33
((0, 6), (1, 6), (2, 6), (4, 6), (6, 6))	20	1
((0, 6), (1, 6), (2, 6), (5, 6))	16	1
((0, 6), (1, 6), (2, 6), (5, 6), (6, 6))	12	1
((0, 6), (1, 6), (3, 6))	2401	116
((0, 6), (1, 6), (3, 6), (4, 6))	774	33
((0, 6), (1, 6), (3, 6), (4, 6), (5, 6))	223	9
((0, 6), (1, 6), (4, 6))	857	41
((0, 6), (1, 6), (4, 6), (5, 6))	41	2
((0, 6), (1, 6), (5, 6))	166	9
((0, 6), (1, 6), (5, 6), (6, 6), (7, 6))	22	1
((0, 6), (1, 6), (6, 6))	150	5
((0, 6), (1, 6), (6, 6), (7, 6))	22	1
((0, 6), (2, 6))	11801	739
((0, 6), (2, 6), (3, 6))	2597	140
((0, 6), (2, 6), (3, 6), (4, 6))	735	31
((0, 6), (2, 6), (3, 6), (4, 6), (5, 6))	179	8
((0, 6), (2, 6), (3, 6), (5, 6), (6, 6))	16	1
((0, 6), (2, 6), (4, 6))	53	2
((0, 6), (2, 6), (4, 6), (5, 6), (6, 6))	21	1
((0, 6), (2, 6), (5, 6), (6, 6))	17	1
((0, 6), (3, 6))	1177	90
((0, 6), (3, 6), (4, 6))	250	16
((0, 6), (3, 6), (4, 6), (5, 6))	18	1
((0, 6), (4, 6))	1330	72
((0, 6), (5, 6))	7	2
((0, 6), (7, 6), (8, 6))	41	1
((0, 7),)	15587	2048
((0, 7), (0, 8))	53906	3655
((0, 7), (1, 7))	77319	4281
((0, 7), (1, 7), (2, 7))	112007	5464
((0, 7), (1, 7), (2, 7), (3, 7))	74620	3444
((0, 7), (1, 7), (2, 7), (3, 7), (4, 7))	34230	1423
((0, 7), (1, 7), (2, 7), (3, 7), (5, 7))	3145	124
((0, 7), (1, 7), (2, 7), (4, 7))	4093	179
((0, 7), (1, 7), (2, 7), (4, 7), (5, 7))	1037	42
((0, 7), (1, 7), (2, 7), (5, 7))	278	13
((0, 7), (1, 7), (2, 7), (6, 7))	12	1
((0, 7), (1, 7), (2, 7), (7, 7))	36	2
((0, 7), (1, 7), (2, 7), (8, 7))	48	2
((0, 7), (1, 7), (3, 7))	9876	494
((0, 7), (1, 7), (3, 7), (4, 7))	2619	126
((0, 7), (1, 7), (3, 7), (4, 7), (5, 7))	975	40
((0, 7), (1, 7), (3, 7), (5, 7))	10	1
((0, 7), (1, 7), (4, 7))	856	44
((0, 7), (1, 7), (4, 7), (5, 7))	79	4
((0, 7), (1, 7), (4, 7), (5, 7), (6, 7))	113	3
((0, 7), (1, 7), (5, 7))	209	8
((0, 7), (1, 7), (5, 7), (6, 7))	28	1
((0, 7), (1, 7), (6, 7))	26	2
((0, 7), (1, 7), (7, 7))	18	1
((0, 7), (1, 7), (8, 7))	21	1
((0, 7), (2, 7))	6219	454
((0, 7), (2, 7), (3, 7))	3395	196
((0, 7), (2, 7), (3, 7), (4, 7))	563	28
((0, 7), (2, 7), (3, 7), (4, 7), (5, 7))	966	40
((0, 7), (2, 7), (4, 7))	74	4
((0, 7), (2, 7), (6, 7))	12	1
((0, 7), (3, 7))	2126	142
((0, 7), (3, 7), (4, 7))	275	15
((0, 7), (3, 7), (4, 7), (5, 7), (6, 7))	83	4
((0, 7), (4, 7))	574	32
((0, 7), (4, 7), (5, 7))	74	5
((0, 7), (5, 7))	71	3
((0, 7), (7, 7))	22	1
((0, 8),)	39068	4003
((0, 8), (1, 8))	115966	7968
((0, 8), (1, 8), (2, 8))	114229	6678
((0, 8), (1, 8), (2, 8), (3, 8))	58700	3073
((0, 8), (1, 8), (2, 8), (3, 8), (4, 8))	25967	1175
((0, 8), (1, 8), (2, 8), (3, 8), (5, 8))	2160	94
((0, 8), (1, 8), (2, 8), (3, 8), (6, 8))	45	2
((0, 8), (1, 8), (2, 8), (4, 8))	8866	454
((0, 8), (1, 8), (2, 8), (4, 8), (5, 8))	2269	95
((0, 8), (1, 8), (2, 8), (5, 8))	118	7
((0, 8), (1, 8), (2, 8), (5, 8), (6, 8))	7	1
((0, 8), (1, 8), (2, 8), (6, 8))	42	3
((0, 8), (1, 8), (3, 8))	9698	579
((0, 8), (1, 8), (3, 8), (4, 8))	3834	203
((0, 8), (1, 8), (3, 8), (4, 8), (5, 8))	1127	58
((0, 8), (1, 8), (3, 8), (5, 8))	5	1
((0, 8), (1, 8), (4, 8))	467	25
((0, 8), (1, 8), (4, 8), (5, 8))	76	6
((0, 8), (1, 8), (5, 8))	118	8
((0, 8), (1, 8), (5, 8), (6, 8))	37	1
((0, 8), (1, 8), (6, 8))	75	4
((0, 8), (1, 8), (8, 8))	36	1
((0, 8), (2, 8))	14958	1054
((0, 8), (2, 8), (3, 8))	10307	599
((0, 8), (2, 8), (3, 8), (4, 8))	6778	347
((0, 8), (2, 8), (3, 8), (4, 8), (5, 8))	2375	111
((0, 8), (2, 8), (4, 8))	104	7
((0, 8), (2, 8), (4, 8), (5, 8))	26	1
((0, 8), (3, 8))	2184	177
((0, 8), (3, 8), (4, 8))	1113	67
((0, 8), (3, 8), (4, 8), (5, 8))	263	15
((0, 8), (3, 8), (4, 8), (5, 8), (6, 8))	62	3
((0, 8), (3, 8), (5, 8))	16	1
((0, 8), (4, 8))	513	33
((0, 8), (4, 8), (5, 8))	107	5
((0, 8), (4, 8), (5, 8), (6, 8))	10	1
((0, 8), (4, 8), (5, 8), (6, 8), (7, 8))	22	1
((0, 8), (5, 8))	117	5
((0, 8), (6, 8))	17	2
((1, 0),)	8676	1127
((1, 0), (1, 1))	28775	1666
((1, 0), (1, 1), (1, 2))	28643	1504
((1, 0), (1, 1), (1, 2), (1, 3))	16006	811
((1, 0), (1, 1), (1, 2), (1, 3), (1, 4))	11972	479
((1, 0), (1, 1), (1, 2), (1, 3), (1, 5))	201	10
((1, 0), (1, 1), (1, 2), (1, 3), (1, 6))	75	3
((1, 0), (1, 1), (1, 2), (1, 4))	3044	143
((1, 0), (1, 1), (1, 2), (1, 4), (1, 5))	1247	51
((1, 0), (1, 1), (1, 2), (1, 5))	93	4
((1, 0), (1, 1), (1, 2), (1, 5), (1, 6))	68	3
((1, 0), (1, 1), (1, 3))	7282	374
