((0, 0),)	8.94
((0, 0), (0, 1))	15.29
((0, 0), (0, 1), (0, 2))	17.92
((0, 0), (0, 1), (0, 2), (0, 3))	18.87
((0, 0), (0, 1), (0, 2), (0, 3), (0, 4))	23.04
((0, 0), (0, 1), (0, 2), (0, 3), (0, 5))	21.14
((0, 0), (0, 1), (0, 2), (0, 3), (0, 6))	17.65
((0, 0), (0, 1), (0, 2), (0, 3), (0, 7))	17.71
((0, 0), (0, 1), (0, 2), (0, 3), (0, 8))	17.31
((0, 0), (0, 1), (0, 2), (0, 4))	21.05
((0, 0), (0, 1), (0, 2), (0, 4), (0, 5))	24.65
((0, 0), (0, 1), (0, 2), (0, 4), (0, 6))	17.47
((0, 0), (0, 1), (0, 2), (0, 4), (0, 7))	17.53
((0, 0), (0, 1), (0, 2), (0, 4), (0, 8))	17.12
((0, 0), (0, 1), (0, 2), (0, 5))	18.0
((0, 0), (0, 1), (0, 2), (0, 5), (0, 6))	17.71
((0, 0), (0, 1), (0, 2), (0, 5), (0, 7))	17.77
((0, 0), (0, 1), (0, 2), (0, 5), (0, 8))	17.37
((0, 0), (0, 1), (0, 2), (0, 6))	17.66
((0, 0), (0, 1), (0, 2), (0, 6), (0, 7))	17.78
((0, 0), (0, 1), (0, 2), (0, 6), (0, 8))	17.37
((0, 0), (0, 1), (0, 2), (0, 7))	17.74
((0, 0), (0, 1), (0, 2), (0, 7), (0, 8))	17.43
((0, 0), (0, 1), (0, 2), (0, 8))	17.23
((0, 0), (0, 1), (0, 3))	18.57
((0, 0), (0, 1), (0, 3), (0, 4))	20.1
((0, 0), (0, 1), (0, 3), (0, 4), (0, 5))	23.31
((0, 0), (0, 1), (0, 3), (0, 4), (0, 6))	17.41
((0, 0), (0, 1), (0, 3), (0, 4), (0, 7))	17.47
((0, 0), (0, 1), (0, 3), (0, 4), (0, 8))	17.07
((0, 0), (0, 1), (0, 3), (0, 5))	17.59
((0, 0), (0, 1), (0, 3), (0, 5), (0, 6))	17.66
((0, 0), (0, 1), (0, 3), (0, 5), (0, 7))	17.72
((0, 0), (0, 1), (0, 3), (0, 5), (0, 8))	17.31
((0, 0), (0, 1), (0, 3), (0, 6))	17.59
((0, 0), (0, 1), (0, 3), (0, 6), (0, 7))	17.72
((0, 0), (0, 1), (0, 3), (0, 6), (0, 8))	17.32
((0, 0), (0, 1), (0, 3), (0, 7))	17.67
((0, 0), (0, 1), (0, 3), (0, 7), (0, 8))	17.38
((0, 0), (0, 1), (0, 3), (0, 8))	17.16
((0, 0), (0, 1), (0, 4))	16.63
((0, 0), (0, 1), (0, 4), (0, 5))	17.18
((0, 0), (0, 1), (0, 4), (0, 5), (0, 6))	17.47
((0, 0), (0, 1), (0, 4), (0, 5), (0, 7))	17.53
((0, 0), (0, 1), (0, 4), (0, 5), (0, 8))	17.13
((0, 0), (0, 1), (0, 4), (0, 6))	17.36
((0, 0), (0, 1), (0, 4), (0, 6), (0, 7))	17.53
((0, 0), (0, 1), (0, 4), (0, 6), (0, 8))	17.13
((0, 0), (0, 1), (0, 4), (0, 7))	17.44
((0, 0), (0, 1), (0, 4), (0, 7), (0, 8))	17.19
((0, 0), (0, 1), (0, 4), (0, 8))	16.93
((0, 0), (0, 1), (0, 5))	16.24
((0, 0), (0, 1), (0, 5), (0, 6))	17.67
((0, 0), (0, 1), (0, 5), (0, 6), (0, 7))	17.78
((0, 0), (0, 1), (0, 5), (0, 6), (0, 8))	17.37
((0, 0), (0, 1), (0, 5), (0, 7))	17.74
((0, 0), (0, 1), (0, 5), (0, 7), (0, 8))	17.43
((0, 0), (0, 1), (0, 5), (0, 8))	17.24
((0, 0), (0, 1), (0, 6))	17.59
((0, 0), (0, 1), (0, 6), (0, 7))	17.75
((0, 0), (0, 1), (0, 6), (0, 7), (0, 8))	17.44
((0, 0), (0, 1), (0, 6), (0, 8))	17.24
((0, 0), (0, 1), (0, 7))	17.69
((0, 0), (0, 1), (0, 7), (0, 8))	17.32
((0, 0), (0, 1), (0, 8))	17.02
((0, 0), (0, 2))	14.51
((0, 0), (0, 2), (0, 3))	16.97
((0, 0), (0, 2), (0, 3), (0, 4))	18.1
((0, 0), (0, 2), (0, 3), (0, 4), (0, 5))	21.3
((0, 0), (0, 2), (0, 3), (0, 4), (0, 6))	17.39
((0, 0), (0, 2), (0, 3), (0, 4), (0, 7))	17.45
((0, 0), (0, 2), (0, 3), (0, 4), (0, 8))	17.05
((0, 0), (0, 2), (0, 3), (0, 5))	17.56
((0, 0), (0, 2), (0, 3), (0, 5), (0, 6))	17.63
((0, 0), (0, 2), (0, 3), (0, 5), (0, 7))	17.69
((0, 0), (0, 2), (0, 3), (0, 5), (0, 8))	17.29
((0, 0), (0, 2), (0, 3), (0, 6))	17.57
((0, 0), (0, 2), (0, 3), (0, 6), (0, 7))	17.7
((0, 0), (0, 2), (0, 3), (0, 6), (0, 8))	17.29
((0, 0), (0, 2), (0, 3), (0, 7))	17.64
((0, 0), (0, 2), (0, 3), (0, 7), (0, 8))	17.35
((0, 0), (0, 2), (0, 3), (0, 8))	17.14
((0, 0), (0, 2), (0, 4))	16.0
((0, 0), (0, 2), (0, 4), (0, 5))	17.33
((0, 0), (0, 2), (0, 4), (0, 5), (0, 6))	17.45
((0, 0), (0, 2), (0, 4), (0, 5), (0, 7))	17.51
((0, 0), (0, 2), (0, 4), (0, 5), (0, 8))	17.1
((0, 0), (0, 2), (0, 4), (0, 6))	17.34
((0, 0), (0, 2), (0, 4), (0, 6), (0, 7))	17.51
((0, 0), (0, 2), (0, 4), (0, 6), (0, 8))	17.11
((0, 0), (0, 2), (0, 4), (0, 7))	17.41
((0, 0), (0, 2), (0, 4), (0, 7), (0, 8))	17.17
((0, 0), (0, 2), (0, 4), (0, 8))	16.91
((0, 0), (0, 2), (0, 5))	17.55
((0, 0), (0, 2), (0, 5), (0, 6))	17.64
((0, 0), (0, 2), (0, 5), (0, 6), (0, 7))	17.76
((0, 0), (0, 2), (0, 5), (0, 6), (0, 8))	17.35
((0, 0), (0, 2), (0, 5), (0, 7))	17.71
((0, 0), (0, 2), (0, 5), (0, 7), (0, 8))	17.41
((0, 0), (0, 2), (0, 5), (0, 8))	17.21
((0, 0), (0, 2), (0, 6))	17.55
((0, 0), (0, 2), (0, 6), (0, 7))	17.72
((0, 0), (0, 2), (0, 6), (0, 7), (0, 8))	17.42
((0, 0), (0, 2), (0, 6), (0, 8))	17.21
((0, 0), (0, 2), (0, 7))	17.65
((0, 0), (0, 2), (0, 7), (0, 8))	17.29
((0, 0), (0, 2), (0, 8))	16.98
((0, 0), (0, 3))	14.73
((0, 0), (0, 3), (0, 4))	17.39
((0, 0), (0, 3), (0, 4), (0, 5))	19.53
((0, 0), (0, 3), (0, 4), (0, 5), (0, 6))	25.83
((0, 0), (0, 3), (0, 4), (0, 5), (0, 7))	17.45
((0, 0), (0, 3), (0, 4), (0, 5), (0, 8))	17.05
((0, 0), (0, 3), (0, 4), (0, 6))	17.27
((0, 0), (0, 3), (0, 4), (0, 6), (0, 7))	17.46
((0, 0), (0, 3), (0, 4), (0, 6), (0, 8))	17.05
((0, 0), (0, 3), (0, 4), (0, 7))	17.34
((0, 0), (0, 3), (0, 4), (0, 7), (0, 8))	17.11
((0, 0), (0, 3), (0, 4), (0, 8))	16.84
((0, 0), (0, 3), (0, 5))	17.45
