,47.5
A,48.1
AA,42.6
AAA,34.8
AAAE,33.2
AAAI,30.9
AAAN,24.8
AAAO,31.8
AAAQ,29.3
AAAR,39.8
AAAU,31.3
AAAV,31.6
AAB,39.2
AABE,28.2
AABO,33.1
AAC,36.5
AACE,30.6
AACG,29.3
AACI,33.4
AACN,26.7
AACQ,35.6
AACR,33.0
AACU,28.2
AACV,25.6
AAD,36.6
AADI,31.7
AAE,38.3
AAEE,29.4
AAEF,34.8
AAEG,36.5
AAEI,29.8
AAEJ,27.5
AAEL,25.8
AAEM,29.8
AAEN,31.8
AAEO,28.6
AAEQ,32.0
AAER,32.7
AAET,29.8
AAEU,30.2
AAEV,24.4
AAEW,35.5
AAEY,28.6
AAEZ,26.5
AAF,39.2
AAFI,33.0
AAG,38.2
AAGI,36.1
AAGO,33.0
AAGQ,26.8
AAGR,36.0
AAGT,26.3
AAGU,27.4
AAH,42.0
AAHI,34.5
AAI,36.7
AAII,25.7
AAIJ,36.2
AAIK,35.6
AAIL,26.8
AAIN,27.4
AAIO,31.5
AAIP,31.7
AAIQ,26.1
AAIR,31.5
AAIT,33.1
AAIU,25.1
AAIV,25.5
AAIW,37.7
AAIZ,35.1
AAJ,38.4
AAJN,24.7
AAJO,36.7
AAK,40.0
AAL,35.7
AALN,27.7
AALO,27.1
AALQ,32.8
AALR,30.8
AALT,29.5
AALU,26.1
AALZ,32.7
AAM,40.6
AAN,36.3
AANN,18.7
AANO,29.2
AANQ,24.3
AANR,37.1
AANT,28.3
AANU,29.2
AANV,28.0
AAO,37.9
AAOO,30.4
AAOQ,34.8
AAOR,28.8
AAOT,21.7
AAOU,31.2
AAOV,26.1
AAOW,29.1
AAP,40.5
AAQ,33.8
AAQR,31.5
AAQT,29.2
AAQU,27.9
AAR,36.6
AART,32.5
AARU,27.0
AAS,37.2
AAT,35.9
AATU,28.4
AATV,23.5
AATZ,29.4
AAU,35.1
AAUV,11.2
AAV,35.8
AAW,37.4
AAX,36.8
AAY,40.7
AAZ,35.8
AB,43.1
ABC,37.2
ABCE,34.0
ABD,40.1
ABE,39.2
ABEI,33.9
ABEO,35.0
ABEQ,34.5
ABER,37.3
ABF,34.7
ABG,35.1
ABGI,25.9
ABGR,30.6
ABH,40.1
ABI,37.6
ABII,28.4
ABIL,26.7
ABIN,31.3
ABIO,38.9
ABIQ,32.8
ABIR,36.5
ABIV,30.9
ABJ,37.6
ABK,39.7
ABL,39.6
ABM,40.5
ABN,39.0
ABNQ,27.1
ABNR,28.7
ABNT,26.5
ABO,39.8
ABOR,42.0
ABP,39.5
ABPR,31.1
ABQ,34.6
ABQR,22.9
ABR,36.3
ABRU,26.8
ABS,42.8
ABT,36.9
ABU,36.9
ABV,34.5
ABW,41.0
ABX,38.1
ABY,40.3
ABZ,41.3
AC,40.2
ACD,38.8
ACDT,28.1
ACE,37.3
ACEE,30.1
ACEG,31.1
ACEI,26.7
ACEN,36.9
ACEO,31.9
ACEU,28.7
ACF,37.6
ACFT,31.1
ACG,34.5
ACGI,28.7
ACGN,22.6
ACGQ,24.9
ACGR,26.9
ACGU,26.3
ACH,43.8
ACI,36.9
ACII,32.2
ACIN,26.4
ACIO,26.4
ACIQ,29.1
ACIR,28.3
ACIT,23.5
ACIU,25.9
ACIV,31.6
ACJ,37.6
ACJL,25.7
ACJN,27.2
ACJO,37.3
ACJR,23.5
ACJV,27.2
ACK,40.1
ACL,36.6
ACLN,25.8
ACLQ,28.7
ACLR,27.4
ACLV,21.2
ACM,36.9
ACN,33.7
ACNO,29.4
ACNQ,30.8
ACNR,28.2
ACNT,31.1
ACNU,27.0
ACNV,24.4
ACO,39.3
ACOR,28.7
ACOU,26.2
ACOV,36.8
ACP,40.5
ACQ,33.1
ACQR,22.8
ACQT,29.5
ACQV,31.7
ACR,36.9
ACRT,35.9
ACRV,29.9
ACS,42.9
ACT,36.5
ACTV,27.7
ACU,36.0
ACV,33.8
ACW,37.0
ACX,34.3
ACY,39.4
ACZ,35.6
AD,44.2
ADE,37.9
ADEE,45.3
ADEI,27.4
ADEN,28.0
ADEO,33.4
ADEQ,23.9
ADEU,34.4
ADF,38.3
ADG,35.0
ADGQ,25.3
ADGR,30.3
ADH,43.8
ADI,39.1
ADII,22.5
ADIN,27.1
ADIO,33.4
ADIQ,24.7
ADIR,26.0
ADIU,36.9
ADJ,38.3
ADK,38.3
ADL,37.3
ADLN,29.2
ADLO,39.3
ADM,38.2
ADN,35.8
ADNN,26.6
ADNO,33.9
ADNR,29.9
ADNT,18.1
ADNU,32.1
ADNV,24.0
ADO,38.4
ADOQ,31.4
ADP,35.1
ADQ,33.4
ADQR,26.7
ADR,36.2
ADRU,26.1
ADRV,31.0
ADS,39.6
ADT,37.6
ADTV,27.4
ADU,34.5
ADV,36.8
ADW,36.4
ADX,38.5
ADY,44.7
ADZ,41.5
AE,44.3
AEE,38.7
AEEE,31.1
AEEG,32.2
AEEI,31.8
AEEK,38.6
AEEL,31.7
AEEN,26.3
AEEO,33.3
AEEP,32.7
AEEQ,23.2
AEER,37.4
AEET,27.3
AEEU,29.8
AEEV,28.8
AEEW,28.0
AEF,39.7
AEFI,38.2
AEFN,29.7
AEFO,28.1
AEG,38.9
AEGI,24.6
AEGJ,33.5
AEGL,40.1
AEGN,30.9
AEGO,32.4
AEGQ,35.2
AEGR,38.2
AEGT,32.2
AEGV,32.2
AEH,46.5
AEHU,32.5
AEI,38.1
AEII,30.2
AEIJ,34.5
AEIK,30.7
AEIL,34.0
AEIM,37.5
AEIN,35.4
AEIO,30.2
AEIP,34.2
AEIQ,31.1
AEIR,37.2
AEIS,37.8
AEIT,31.5
AEIU,26.3
AEIV,32.6
AEIW,30.3
AEIZ,46.9
AEJ,39.1
AEJN,24.9
AEJO,33.0
AEJQ,21.5
AEJT,37.0
AEJU,36.1
AEK,36.8
AEKQ,20.8
AEL,37.7
AELN,29.7
AELO,30.6
AELQ,29.4
AELR,42.3
AELT,24.4
AELU,32.8
AELV,28.7
AEM,39.5
AEMO,36.4
AEMT,34.3
AEN,37.6
AENN,27.5
AENO,35.8
AENP,33.9
AENQ,26.9
AENR,32.4
AENT,29.1
AENU,24.9
AENV,29.5
AENY,39.2
AENZ,32.9
AEO,40.0
AEOO,33.3
AEOQ,33.2
AEOR,38.5
AEOT,30.3
AEOU,24.4
AEOV,32.1
