((0, 0),)	17722	1975
((0, 0), (0, 1))	46448	3064
((0, 0), (0, 1), (0, 2))	43765	2436
((0, 0), (0, 1), (0, 2), (0, 3))	21531	1156
((0, 0), (0, 1), (0, 2), (0, 3), (0, 4))	16977	732
((0, 0), (0, 1), (0, 2), (0, 3), (0, 5))	608	30
((0, 0), (0, 1), (0, 2), (0, 3), (0, 6))	42	2
((0, 0), (0, 1), (0, 2), (0, 4))	7385	360
((0, 0), (0, 1), (0, 2), (0, 4), (0, 5))	2524	106
((0, 0), (0, 1), (0, 2), (0, 5))	35	2
((0, 0), (0, 1), (0, 2), (0, 5), (0, 6))	16	1
((0, 0), (0, 1), (0, 2), (0, 7))	19	1
((0, 0), (0, 1), (0, 3))	8408	438
((0, 0), (0, 1), (0, 3), (0, 4))	5763	276
((0, 0), (0, 1), (0, 3), (0, 4), (0, 5))	2366	98
((0, 0), (0, 1), (0, 4))	203	12
((0, 0), (0, 1), (0, 4), (0, 5))	76	4
((0, 0), (0, 1), (0, 5))	34	2
((0, 0), (0, 1), (0, 5), (0, 6))	12	1
((0, 0), (0, 1), (0, 6))	6	1
((0, 0), (0, 1), (0, 8))	11	1
((0, 0), (0, 2))	11217	765
((0, 0), (0, 2), (0, 3))	8757	504
((0, 0), (0, 2), (0, 3), (0, 4))	5916	333
((0, 0), (0, 2), (0, 3), (0, 4), (0, 5))	1397	69
((0, 0), (0, 2), (0, 3), (0, 5))	22	1
((0, 0), (0, 2), (0, 4))	72	4
((0, 0), (0, 2), (0, 4), (0, 5))	22	1
((0, 0), (0, 3))	1661	112
((0, 0), (0, 3), (0, 4))	998	57
((0, 0), (0, 3), (0, 4), (0, 5))	138	9
((0, 0), (0, 3), (0, 4), (0, 5), (0, 6))	120	4
((0, 0), (0, 3), (0, 5))	9	1
((0, 0), (0, 4))	202	13
((0, 0), (0, 5))	24	2
((0, 0), (0, 7))	36	1
((0, 0), (1, 0))	64624	4203
((0, 0), (1, 0), (2, 0))	65059	3678
((0, 0), (1, 0), (2, 0), (3, 0))	45201	2243
((0, 0), (1, 0), (2, 0), (3, 0), (4, 0))	13303	579
((0, 0), (1, 0), (2, 0), (3, 0), (5, 0))	7749	317
((0, 0), (1, 0), (2, 0), (3, 0), (6, 0))	36	2
