((0, 0),)	21777	2444
((0, 0), (0, 1))	56695	3711
((0, 0), (0, 1), (0, 2))	54078	3035
((0, 0), (0, 1), (0, 2), (0, 3))	27528	1460
((0, 0), (0, 1), (0, 2), (0, 3), (0, 4))	20406	904
((0, 0), (0, 1), (0, 2), (0, 3), (0, 5))	774	38
((0, 0), (0, 1), (0, 2), (0, 3), (0, 6))	56	2
((0, 0), (0, 1), (0, 2), (0, 4))	10374	491
((0, 0), (0, 1), (0, 2), (0, 4), (0, 5))	3491	133
((0, 0), (0, 1), (0, 2), (0, 5))	45	3
((0, 0), (0, 1), (0, 2), (0, 5), (0, 6))	65	3
((0, 0), (0, 1), (0, 2), (0, 6))	30	1
((0, 0), (0, 1), (0, 2), (0, 6), (0, 7))	27	1
((0, 0), (0, 1), (0, 3))	10522	553
((0, 0), (0, 1), (0, 3), (0, 4))	7513	375
((0, 0), (0, 1), (0, 3), (0, 4), (0, 5))	2586	110
((0, 0), (0, 1), (0, 3), (0, 4), (0, 6))	24	1
((0, 0), (0, 1), (0, 3), (0, 5), (0, 6))	18	1
((0, 0), (0, 1), (0, 4))	228	13
((0, 0), (0, 1), (0, 4), (0, 5))	51	3
((0, 0), (0, 1), (0, 5))	91	5
((0, 0), (0, 2))	13033	908
((0, 0), (0, 2), (0, 3))	10800	666
((0, 0), (0, 2), (0, 3), (0, 4))	7686	417
((0, 0), (0, 2), (0, 3), (0, 4), (0, 5))	1872	93
((0, 0), (0, 2), (0, 4))	94	7
((0, 0), (0, 2), (0, 4), (0, 5))	5	1
((0, 0), (0, 3))	1878	132
((0, 0), (0, 3), (0, 4))	1135	62
((0, 0), (0, 3), (0, 4), (0, 5))	330	16
((0, 0), (0, 3), (0, 4), (0, 5), (0, 6))	99	4
((0, 0), (0, 4))	132	7
((0, 0), (0, 4), (0, 5))	11	1
((0, 0), (0, 4), (0, 5), (0, 6))	54	1
((0, 0), (0, 5))	26	2
((0, 0), (0, 5), (0, 6))	20	1
((0, 0), (0, 6))	68	2
((0, 0), (0, 7))	12	1
((0, 0), (1, 0))	79628	5243
((0, 0), (1, 0), (2, 0))	82412	4688
((0, 0), (1, 0), (2, 0), (3, 0))	58933	2931
((0, 0), (1, 0), (2, 0), (3, 0), (4, 0))	16424	735
((0, 0), (1, 0), (2, 0), (3, 0), (5, 0))	8679	358
((0, 0), (1, 0), (2, 0), (3, 0), (6, 0))	43	2
((0, 0), (1, 0), (2, 0), (4, 0))	6267	328
((0, 0), (1, 0), (2, 0), (4, 0), (5, 0))	1629	70
((0, 0), (1, 0), (2, 0), (5, 0))	103	7
((0, 0), (1, 0), (2, 0), (5, 0), (6, 0))	18	1
((0, 0), (1, 0), (2, 0), (6, 0))	37	1
((0, 0), (1, 0), (3, 0))	6655	417
((0, 0), (1, 0), (3, 0), (4, 0))	4276	218
((0, 0), (1, 0), (3, 0), (4, 0), (5, 0))	1376	58
((0, 0), (1, 0), (3, 0), (5, 0))	40	2
((0, 0), (1, 0), (4, 0))	190	9
((0, 0), (1, 0), (4, 0), (5, 0))	7	1
((0, 0), (1, 0), (5, 0))	102	7
((0, 0), (1, 0), (5, 0), (6, 0))	30	2
((0, 0), (2, 0))	10643	759
((0, 0), (2, 0), (3, 0))	6002	366
((0, 0), (2, 0), (3, 0), (4, 0))	4333	232
((0, 0), (2, 0), (3, 0), (4, 0), (5, 0))	1198	52
((0, 0), (2, 0), (4, 0))	34	2
((0, 0), (3, 0))	1412	98
((0, 0), (3, 0), (4, 0))	498	31
((0, 0), (3, 0), (4, 0), (5, 0))	125	8
((0, 0), (3, 0), (4, 0), (5, 0), (6, 0))	38	1
((0, 0), (4, 0))	200	11
((0, 0), (5, 0))	50	3
((0, 0), (5, 0), (6, 0))	43	2
((0, 0), (6, 0))	6	1
((0, 1),)	16237	2360
((0, 1), (0, 2))	10757	877
((0, 1), (0, 2), (0, 3))	12890	793
((0, 1), (0, 2), (0, 3), (0, 4))	11606	642
((0, 1), (0, 2), (0, 3), (0, 4), (0, 5))	17563	778
((0, 1), (0, 2), (0, 3), (0, 4), (0, 6))	3231	127
((0, 1), (0, 2), (0, 3), (0, 4), (0, 7))	51	3
((0, 1), (0, 2), (0, 3), (0, 5))	575	28
((0, 1), (0, 2), (0, 3), (0, 5), (0, 6))	725	32
((0, 1), (0, 2), (0, 3), (0, 6))	13	1
((0, 1), (0, 2), (0, 4))	2329	120
((0, 1), (0, 2), (0, 4), (0, 5))	487	25
((0, 1), (0, 2), (0, 4), (0, 5), (0, 6))	1770	74
((0, 1), (0, 2), (0, 4), (0, 6))	17	1
((0, 1), (0, 2), (0, 5))	65	4
((0, 1), (0, 2), (0, 5), (0, 6), (0, 7))	8	1
((0, 1), (0, 2), (0, 6))	0	1
((0, 1), (0, 2), (0, 8))	26	1
((0, 1), (0, 3))	1545	117
((0, 1), (0, 3), (0, 4))	1588	93
((0, 1), (0, 3), (0, 4), (0, 5))	252	13
((0, 1), (0, 3), (0, 4), (0, 5), (0, 6))	1073	45
((0, 1), (0, 3), (0, 5))	17	2
((0, 1), (0, 4))	118	10
((0, 1), (0, 4), (0, 5))	49	2
((0, 1), (0, 4), (0, 5), (0, 6))	25	2
((0, 1), (0, 5))	17	3
((0, 1), (0, 8))	13	1
((0, 1), (1, 1))	83413	4907
((0, 1), (1, 1), (2, 1))	101720	5175
((0, 1), (1, 1), (2, 1), (3, 1))	76734	3639
((0, 1), (1, 1), (2, 1), (3, 1), (4, 1))	31770	1337
((0, 1), (1, 1), (2, 1), (3, 1), (5, 1))	17701	701
((0, 1), (1, 1), (2, 1), (3, 1), (6, 1))	169	6
((0, 1), (1, 1), (2, 1), (4, 1))	5064	242
((0, 1), (1, 1), (2, 1), (4, 1), (5, 1))	1973	82
((0, 1), (1, 1), (2, 1), (5, 1))	786	35
((0, 1), (1, 1), (2, 1), (5, 1), (6, 1))	207	7
((0, 1), (1, 1), (2, 1), (8, 1))	13	1
((0, 1), (1, 1), (3, 1))	11212	602
((0, 1), (1, 1), (3, 1), (4, 1))	3832	184
((0, 1), (1, 1), (3, 1), (4, 1), (5, 1))	2126	82
((0, 1), (1, 1), (3, 1), (5, 1))	41	2
((0, 1), (1, 1), (3, 1), (5, 1), (6, 1))	56	2
((0, 1), (1, 1), (4, 1))	760	43
((0, 1), (1, 1), (4, 1), (5, 1))	173	8
((0, 1), (1, 1), (5, 1))	151	9
((0, 1), (1, 1), (5, 1), (6, 1))	40	1
((0, 1), (1, 1), (8, 1))	48	2
((0, 1), (2, 1))	8368	666
((0, 1), (2, 1), (3, 1))	3534	216
((0, 1), (2, 1), (3, 1), (4, 1))	709	39
((0, 1), (2, 1), (3, 1), (4, 1), (5, 1))	1992	82
